sl_no,status
8,Placed
70,Placed
160,Placed
99,Placed
88,Placed
28,Placed
196,Placed
174,Placed
152,Placed
102,Placed
17,Placed
62,Placed
90,Placed
23,Placed
30,Placed
64,Placed
48,Placed
18,Placed
141,Placed
162,Placed
116,Placed
20,Not Placed
167,Not Placed
61,Not Placed
82,Not Placed
104,Not Placed
115,Not Placed
59,Not Placed
72,Not Placed
183,Not Placed
26,Not Placed
149,Not Placed
87,Not Placed
40,Not Placed
107,Not Placed
41,Not Placed
109,Not Placed
24,Not Placed
165,Not Placed
74,Not Placed
108,Not Placed
92,Not Placed
136,Not Placed
