sl_no,status
8,Placed
70,Placed
160,Not Placed
99,Placed
88,Not Placed
28,Placed
196,Placed
174,Not Placed
152,Placed
102,Placed
17,Placed
62,Placed
90,Placed
23,Placed
30,Not Placed
64,Placed
48,Not Placed
18,Not Placed
141,Placed
162,Not Placed
116,Placed
20,Placed
167,Placed
61,Placed
82,Placed
104,Placed
115,Placed
59,Placed
72,Placed
183,Placed
26,Not Placed
149,Placed
87,Not Placed
40,Placed
107,Not Placed
41,Placed
109,Placed
24,Placed
165,Placed
74,Placed
108,Placed
92,Not Placed
136,Placed
