title,UploadYear
The Gummy Bear Song - Long English Version,2007
Numb [Official Music Video] - Linkin Park,2007
Queen – Bohemian Rhapsody (Official Video Remastered),2008
Katy Perry - Hot N Cold (Official),2008
Crazy Frog - Axel F (Official Video),2009
Guns N' Roses - November Rain,2009
Lady Gaga - Bad Romance (Official Music Video),2009
Nirvana - Smells Like Teen Spirit (Official Music Video),2009
Guns N' Roses - Sweet Child O' Mine (Official Music Video),2009
In The End [Official HD Music Video] - Linkin Park,2009
Taylor Swift - You Belong With Me,2009
50 Cent - In Da Club (Official Music Video),2009
Beyoncé - Halo,2009
Eminem - Without Me (Official Music Video),2009
The Cranberries - Zombie (Official Music Video),2009
System Of A Down - Chop Suey! (Official Video),2009
Michael Jackson - Billie Jean (Official Video),2009
Bon Jovi - It's My Life (Official Music Video),2009
Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,2009
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),2010
Justin Bieber - Baby (Official Music Video) ft. Ludacris,2010
Eminem - Love The Way You Lie ft. Rihanna,2010
Adele - Rolling in the Deep (Official Music Video),2010
Twinkle Twinkle Little Star,2010
Bruno Mars - Just The Way You Are (Official Music Video),2010
Eminem - Not Afraid (Official Video),2010
Katy Perry - Firework (Official Music Video),2010
a-ha - Take On Me (Official Video) [Remastered in 4K],2010
Don Omar - Danza Kuduro ft. Lucenzo,2010
Whitney Houston - I Will Always Love You (Official 4K Video),2010
"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole",2010
Bruno Mars - Grenade (Official Music Video),2010
Justin Bieber - Never Say Never (Official Music Video) ft. Jaden Smith,2010
Bruno Mars - The Lazy Song (Official Music Video),2011 
"LMFAO ft. Lauren Bennett, GoonRock - Party Rock Anthem (Official Video)",2011
Christina Perri - A Thousand Years [Official Music Video],2011
Jennifer Lopez - On The Floor ft. Pitbull,2011
Adele - Someone Like You (Official Music Video),2011
Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],2011
David Guetta - Titanium ft. Sia (Official Video),2011
Coldplay - Paradise (Official Video),2011
Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),2011
Pollito Amarillito ORIGINAL - Gallina Pintadita 1 - Oficial - Canciones infantiles,2011
One Direction - What Makes You Beautiful (Official Video),2011
Mariposita ORIGINAL - Gallina Pintadita 2 - Oficial - Canciones infantiles para niños y bebés,2011
Pitbull - Rain Over Me ft. Marc Anthony,2011
Michel Teló - Ai Se Eu Te Pego -  Video Oficial (Assim você me mata),2011
Маша и Медведь (Masha and The Bear) - Маша плюс каша (17 Серия),2012
PSY - GANGNAM STYLE(강남스타일) M/V,2012
